Time	Node	Type	Packets	
168	1	CacheHits	0
168	1	CacheMisses	433
168	2	CacheHits	1
168	2	CacheMisses	434
169	0	CacheHits	0
169	0	CacheMisses	35
169	1	CacheHits	0
169	1	CacheMisses	44
169	2	CacheHits	1
169	2	CacheMisses	53
170	0	CacheHits	0
170	0	CacheMisses	548
170	1	CacheHits	0
170	1	CacheMisses	539
170	2	CacheHits	0
170	2	CacheMisses	531
171	0	CacheHits	0
171	0	CacheMisses	0
171	1	CacheHits	0
171	1	CacheMisses	0
171	2	CacheHits	0
171	2	CacheMisses	0
172	0	CacheHits	0
172	0	CacheMisses	226
172	1	CacheHits	0
172	1	CacheMisses	235
172	2	CacheHits	1
172	2	CacheMisses	244
173	0	CacheHits	0
173	0	CacheMisses	148
173	1	CacheHits	0
173	1	CacheMisses	139
173	2	CacheHits	0
173	2	CacheMisses	131
174	0	CacheHits	0
174	0	CacheMisses	372
174	1	CacheHits	0
174	1	CacheMisses	372
174	2	CacheHits	1
174	2	CacheMisses	373
175	0	CacheHits	0
175	0	CacheMisses	0
175	1	CacheHits	0
175	1	CacheMisses	0
175	2	CacheHits	0
175	2	CacheMisses	0
176	0	CacheHits	0
176	0	CacheMisses	196
176	1	CacheHits	0
176	1	CacheMisses	204
176	2	CacheHits	1
176	2	CacheMisses	214
177	0	CacheHits	0
177	0	CacheMisses	334
177	1	CacheHits	0
177	1	CacheMisses	326
177	2	CacheHits	0
177	2	CacheMisses	317
178	0	CacheHits	0
178	0	CacheMisses	440
178	1	CacheHits	0
178	1	CacheMisses	448
178	2	CacheHits	1
178	2	CacheMisses	458
179	0	CacheHits	0
179	0	CacheMisses	253
179	1	CacheHits	0
179	1	CacheMisses	245
179	2	CacheHits	0
179	2	CacheMisses	236
180	0	CacheHits	0
180	0	CacheMisses	521
180	1	CacheHits	0
180	1	CacheMisses	530
180	2	CacheHits	1
180	2	CacheMisses	539
181	0	CacheHits	0
181	0	CacheMisses	408
181	1	CacheHits	0
181	1	CacheMisses	399
181	2	CacheHits	0
181	2	CacheMisses	390
182	0	CacheHits	0
182	0	CacheMisses	367
182	1	CacheHits	0
182	1	CacheMisses	376
182	2	CacheHits	1
182	2	CacheMisses	385
183	0	CacheHits	0
183	0	CacheMisses	798
183	1	CacheHits	0
183	1	CacheMisses	790
183	2	CacheHits	1
183	2	CacheMisses	783
184	0	CacheHits	0
184	0	CacheMisses	446
184	1	CacheHits	0
184	1	CacheMisses	445
184	2	CacheHits	0
184	2	CacheMisses	445
185	0	CacheHits	0
185	0	CacheMisses	0
185	1	CacheHits	0
185	1	CacheMisses	0
185	2	CacheHits	0
185	2	CacheMisses	0
186	0	CacheHits	0
186	0	CacheMisses	305
186	1	CacheHits	0
